Total Agents, Total Cases, SparseLU, Gauss-Seidel, Sparse Partial Gauss, Partial Gauss, Own Sparse
5, 21, 0.00397730866229234, -2909.83434836715, -53.6204906651087, -26168.8986186827, -60.6744161885158
10, 66, 0.988683037136846, -13406.1693685596, -81.6055505796085, -97751.0136826824, -299.429898458658
15, 136, 2.52044750365282, -24737.07499005, 44.441851116191, -178088.572377734, -303.57697537162
20, 231, 4.59927070821021, -30385.0816926527, 545.712649794057, -224574.690390408, 405.906535618299
25, 351, 7.22515265080902, -21505.0522704016, 1722.39454345853, -175535.863460406, 2479.12216796598
30, 496, 10.3980933314492, 13075.8181684503, 3953.67199274692, 53267.9194823489, 6737.25080603547
35, 666, 14.1180927501309, 86858.0022014301, 7697.72622092933, 573064.0860393, 14172.5526851
40, 861, 18.385150906854, 215669.640091846, 13491.7352139086, 1527409.4129235, 25948.367391342
45, 1081, 23.1992678016185, 417666.539788786, 21951.8737202204, 3098452.98139851, 43399.1138618531
50, 1326, 28.5604434344244, 713332.17692712, 33773.3132510331, 5514120.15557599, 68030.290384634
55, 1596, 34.4686778052717, 1125477.6948275, 49730.2220801479, 9056217.5835719, 101518.474598595
60, 1891, 40.9239709141604, 1679241.90449635, 70675.7652439988, 14069459.2215214, 145711.323493554
