Total Agents, Total Cases, Generate Equation, SparseLU, Gauss-Seidel, Sparse Partial Gauss, Partial Gauss, Own Sparse
5,21,466,0.0102040816326531,18.9489795918367,7.36734693877551, 31.5714285714286, 13.0102040816327
10,66,88,0,558.755102040816,67.469387755102, 759.397959183673, 216.602040816327
15,136,379,1.07142857142857,2558.92857142857,238.80612244898, 4754.5306122449, 682.122448979592
20,231,1085,1.19387755102041,7485.70408163265,740.316326530612, 25543.9285714286, 1556.66326530612
25,351,2480,3.55102040816327,25532.7857142857,1696.10204081633, 78194.1836734694, 4590.63265306122
30,496,5517,5.26530612244898,50584.7857142857,3527.59183673469, 227298.010204082, 7841.19387755102
35,666,10824,9.04081632653061,116190.765306122,7592.0612244898, 608505.520408163, 15932.4387755102
40,861,19184,12.8163265306122,207978.56122449,12055.5714285714, 1262655.60204082, 24896.3775510204
45,1081,25892,23.4489795918367,438613.897959184,19075.5612244898, 2490171.56122449, 47683.7551020408
50,1326,43761,24.2142857142857,653348.785714286,34218.0714285714, 5031429.52040816, 65446.8775510204
55,1596,58773,31.4591836734694,988002.051020408,57616.0816326531, 10521977.1734694, 90971.2244897959
60,1891,87388,53.2755102040816,1792850.09183673,66116.6326530612, 13486446.3163265, 152922.755102041
